relations__type,relations__sentence,relations__score,relations__arguments__text,relations__arguments__location__001,relations__arguments__location__002,relations__arguments__entities__type,relations__arguments__entities__text,relations__arguments__entities__disambiguation__subtype__-,language,keywords__text,keywords__sentiment__score,keywords__sentiment__label,keywords__relevance,keywords__emotion__sadness,keywords__emotion__joy,keywords__emotion__fear,keywords__emotion__disgust,keywords__emotion__anger,entities__type,entities__text,entities__sentiment__score,entities__sentiment__label,entities__relevance,entities__emotion__sadness,entities__emotion__joy,entities__emotion__fear,entities__emotion__disgust,entities__emotion__anger,entities__disambiguation__subtype__001,entities__disambiguation__subtype__002,entities__disambiguation__subtype__003,entities__disambiguation__subtype__004,entities__disambiguation__name,entities__disambiguation__dbpedia_resource,entities__count
,,,tells,315,320,EventCommunication,tells,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"I take my rv confident but consideration alone, I felt something was wrong, I again echo the breasts not prévue.Enfin, the radiologist comes to me and tells me: ""Take rv quickly to the hospital Baclesse (specializes in cancer), you are great"".","89,01%",me,321,323,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tells,315,320,EventCommunication,tells,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employedBy,"I take my rv confident but consideration alone, I felt something was wrong, I again echo the breasts not prévue.Enfin, the radiologist comes to me and tells me: ""Take rv quickly to the hospital Baclesse (specializes in cancer), you are great"".","40,36%",me,321,323,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,hospital,349,357,Organization,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ownerOf,"Anvil me falls on the head, I know How réagir.J' tries to cry in my car but it does not come, I wanted to avoid bursting before my children.","84,35%",my,473,475,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,car,476,479,Vehicle,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,"Anvil me falls on the head, I know How réagir.J' tries to cry in my car but it does not come, I wanted to avoid bursting before my children.","51,59%",my,536,538,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,children,539,547,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,"Back at home, my husband is not believed.","72,00%",my,563,565,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,husband,566,573,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,"Back at home, my husband is not believed.","76,12%",my,736,738,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,husband,739,746,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,"Back at home, my husband is not believed.","56,55%",my,2027,2029,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,husband,2030,2037,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"I am so quickly to Baclesse, we are the 2014.Baclesse October 6 gives me rv for a new current mammography November, I am the only rv yet because my husband is still older children at the time of 7 and 6 years.","77,58%",me,661,663,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,rv,664,666,Vehicle,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"I am so quickly to Baclesse, we are the 2014.Baclesse October 6 gives me rv for a new current mammography November, I am the only rv yet because my husband is still older children at the time of 7 and 6 years.","65,31%",children,762,770,Person,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,rv,664,666,Vehicle,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siblingOf,"As I have family history, my brother advised me to go see a osteopath, which gave me back manipulating me.","28,07%",my,122,124,Person,me,,en,social security,"0,00%",neutral,"90,33%","8,12%","6,78%","36,57%","14,52%","20,02%",,,,,,,,,,,,,,,,,
,,,brother,125,132,Person,brother,,,heavy work load,"-54,35%",negative,"88,19%","59,14%","21,10%","22,54%","4,20%","6,17%",,,,,,,,,,,,,,,,,
employedBy,"I have applied for recognition as a disabled worker with mdpb 49 on June 7, 2012, which followed a discovery RQTH of 06/19/2012, and vocational guidance (interview with Psychotechnical council guidance service professional team specialized employment pole orientation).","53,03%",team,1094,1098,Person,team,,,St Leonard,"0,00%",neutral,"83,81%","10,00%","24,11%","11,71%","3,81%","2,68%",,,,,,,,,,,,,,,,,
,,,council,1056,1063,Organization,council,Government,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"On September 10, 2012, the SMIA told me unfit for work I was, after long months of work stoppage.","61,01%","September 10, 2012",1193,1211,Date,"September 10, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,1222,1226,EventCommunication,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"On September 10, 2012, the SMIA told me unfit for work I was, after long months of work stoppage.","57,27%",me,1227,1229,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,1222,1226,EventCommunication,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"On December 13, 2012, social security I said a rate of permanent incapacity to 15% 5% for the professional rate, which gives me the right to annuity.","77,82%","December 13, 2012",1291,1308,Date,"December 13, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,said,1328,1332,EventCommunication,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"On December 13, 2012, social security I said a rate of permanent incapacity to 15% 5% for the professional rate, which gives me the right to annuity.","99,69%",I,1326,1327,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,said,1328,1332,EventCommunication,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"Support for the operation and all expenses were paid by the social security, thanks to my statement of occupational disease.","94,29%",my,1721,1723,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,1750,1757,HealthCondition,disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"The operation was successful, but I had always pain, I was supported by a doctor of pain, he prescribed me a device to calm the pain.","47,73%",I,1793,1794,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pain,1843,1847,HealthCondition,pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"The operation was successful, but I had always pain, I was supported by a doctor of pain, he prescribed me a device to calm the pain.","67,05%",he,1849,1851,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pain,1843,1847,HealthCondition,pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"The operation was successful, but I had always pain, I was supported by a doctor of pain, he prescribed me a device to calm the pain.","77,67%",doctor,1833,1839,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pain,1843,1847,HealthCondition,pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"As I have family history, my brother advised me to go see a osteopath, which gave me back manipulating me.","97,94%",brother,125,132,Person,brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,advised,133,140,EventCommunication,advised,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"As I have family history, my brother advised me to go see a osteopath, which gave me back manipulating me.","86,22%",me,141,143,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,advised,133,140,EventCommunication,advised,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,"Then in September 2011, I had the back blocked, which led me to go from radio and my neurologist found a slipped disc.","34,79%",my,568,570,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,neurologist,571,582,Person,neurologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,He offered me an operation that I accepted.,"99,86%",He,605,607,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,offered,608,615,EventCommunication,offered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,He offered me an operation that I accepted.,"76,63%",me,616,618,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,offered,608,615,EventCommunication,offered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"I was very well follow-up to the clinic St Leonard Trélazé, however I paid an extra fee of EUR 500,","43,17%",I,677,678,Person,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,clinic St,710,719,Facility,clinic St,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participantIn,"I have applied for recognition as a disabled worker with mdpb 49 on June 7, 2012, which followed a discovery RQTH of 06/19/2012, and vocational guidance (interview with Psychotechnical council guidance service professional team specialized employment pole orientation).","76,77%",council,1056,1063,Organization,council,Government,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,interview,1025,1034,EventMeeting,interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participantIn,"I have applied for recognition as a disabled worker with mdpb 49 on June 7, 2012, which followed a discovery RQTH of 06/19/2012, and vocational guidance (interview with Psychotechnical council guidance service professional team specialized employment pole orientation).","82,96%",team,1094,1098,Person,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,interview,1025,1034,EventMeeting,interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"In fact for me it was two time; the first announcement of the fibromyalgia in 2002 was a relief because I had met many doctors, made many analyses and the response was most often ""it is in your head"" or ""you are depressed"" or ""nothing for you"".","65,25%",me,12,14,Person,your,,en,pain clinic center,"-35,26%",negative,"91,15%","79,82%","3,19%","10,93%","1,07%","7,90%",HealthCondition,fibromyalgia,"-50,80%",negative,"90,38%","14,03%","20,19%","7,39%","10,42%","7,36%",DiseaseOrMedicalCondition,RiskFactor,Symptom,Disease,Fibromyalgia,http://dbpedia.org/resource/Fibromyalgia,1
,,,announcement,42,54,EventCommunication,announcement,,,doctor,"5,96%",positive,"90,28%","53,78%","10,08%","24,73%","5,54%","10,54%",,,,,,,,,,,,,,,,,
agentOf,"I am not complaining because some patients are several years before a diagnosis, but it took me to bat for appointments, answered my questions.","97,95%",my,791,793,Person,your,,,severe cervical osteoarthritis,"-57,08%",negative,"88,87%","31,26%","10,44%","15,41%","8,79%","5,25%",,,,,,,,,,,,,,,,,
,,,questions,794,803,EventCommunication,questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,Again my doctor found destitute and sent me to see a rheumatologist.,"39,73%",my,1089,1091,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,doctor,1092,1098,Person,rheumatologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,Again my doctor found destitute and sent me to see a rheumatologist.,"43,38%",My,1615,1617,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,doctor,1618,1624,Person,rheumatologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,Again my doctor found destitute and sent me to see a rheumatologist.,"18,00%",My,1749,1751,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,rheumatologist,1752,1766,Person,rheumatologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"A new autoimmune disease that I do not know, in addition to the fibromyalgia (not instead).","75,88%",I,1297,1298,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,1284,1291,HealthCondition,fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"A new autoimmune disease that I do not know, in addition to the fibromyalgia (not instead).","70,04%",you,2415,2418,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,2428,2435,HealthCondition,fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"A new autoimmune disease that I do not know, in addition to the fibromyalgia (not instead).","49,45%",you,2452,2455,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,2428,2435,HealthCondition,fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,"I was supported by a algologue of a pain clinic center, a psychiatrist, my rheumatologist, my doctor.","21,22%",rheumatologist,1534,1548,Person,rheumatologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,my,1531,1533,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,Each physician has its way of saying and feel things.,"59,38%",physician,1566,1575,Person,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,saying,1591,1597,EventCommunication,saying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"I can stay an hour in his office even if there is world in the waiting room, when it sees that it's not.","53,15%",his,1666,1669,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,waiting room,1707,1719,Facility,waiting room,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"My rheumatologist says nothing, he listens to what I say, made his acts (jabs, infiltration, orders ...) and reported where I learn that I have a particular problem.","84,06%",rheumatologist,1752,1766,Person,rheumatologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,says,1767,1771,EventCommunication,says,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"My rheumatologist says nothing, he listens to what I say, made his acts (jabs, infiltration, orders ...) and reported where I learn that I have a particular problem.","99,39%",I,1800,1801,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,say,1802,1805,EventCommunication,say,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,Ai I replied quite precisely?,"96,98%",I,2539,2540,Person,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,replied,2541,2548,EventCommunication,replied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"In fact for me it was two time; the first announcement of the fibromyalgia in 2002 was a relief because I had met many doctors, made many analyses and the response was most often ""it is in your head"" or ""you are depressed"" or ""nothing for you"".","92,76%",2002,78,82,Date,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,announcement,42,54,EventCommunication,announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,He told me that my radios showed no reason to have evil therefore I was cozy.,"99,77%",He,290,292,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,293,297,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,He told me that my radios showed no reason to have evil therefore I was cozy.,"79,41%",me,298,300,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,293,297,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,I had to show him Internet articles on the fibromyalgia that it is the disease that I had.,"71,50%",him,382,385,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,439,446,HealthCondition,fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,I had to show him Internet articles on the fibromyalgia that it is the disease that I had.,"81,51%",I,452,453,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,439,446,HealthCondition,fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,I had to show him Internet articles on the fibromyalgia that it is the disease that I had.,"78,37%",my,526,528,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fibromyalgia,544,556,HealthCondition,fibromyalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,I am mounted Paris see a doctor specializing in pain.,"48,68%",I,459,460,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paris,472,477,GeopoliticalEntity,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,He confirmed my own diagnosis: fibromyalgia.,"92,47%",He,513,515,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,confirmed,516,525,EventPersonnel,confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"I am not complaining because some patients are several years before a diagnosis, but it took me to bat for appointments, answered my questions.","84,73%",me,754,756,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,answered,782,790,EventCommunication,answered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"I am not complaining because some patients are several years before a diagnosis, but it took me to bat for appointments, answered my questions.","40,03%",my,791,793,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,answered,782,790,EventCommunication,answered,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,I asked to be recognized 100% (also for a therapeutic half-time because I wanted to keep my autonomy and could with the agreement of my doctor.,"99,22%",I,353,354,Person,my,,en,social security,"46,48%",positive,"95,50%","17,19%","15,69%","34,36%","8,29%","19,45%",,,,,,,,,,,,,,,,,
,,,asked,355,360,EventCommunication,explained,,,fairly sympathetic interlocutor,"48,33%",positive,"82,23%","16,60%","30,29%","9,84%","16,94%","41,50%",,,,,,,,,,,,,,,,,
managerOf,I asked to be recognized 100% (also for a therapeutic half-time because I wanted to keep my autonomy and could with the agreement of my doctor.,"36,52%",doctor,489,495,Person,representative,,,statement state health,"46,48%",positive,"80,24%","13,31%","36,55%","28,64%","4,66%","2,00%",,,,,,,,,,,,,,,,,
,,,my,486,488,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,) The representative explained to me the approach what complete and especially response times social security.,"98,19%",representative,502,516,Person,representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,explained,517,526,EventCommunication,explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,) The representative explained to me the approach what complete and especially response times social security.,"89,89%",me,530,532,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,explained,517,526,EventCommunication,explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"For the moment the process of the disease has not changed and I am aware that it could évoluer.Maintenant, my doctor who was more involved with the report of the expert.","67,68%",I,882,883,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,854,861,HealthCondition,disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"BonjourJe did not need to announce anything, because at the time I was nanny approved my home, I have had my judgment therefore disease, with stopping child custody for more than a year.","40,21%",I,65,66,Person,my,,en,cummulé CDD,"-32,20%",negative,"96,43%","17,16%","14,68%","10,59%","7,35%","9,69%",Location,joaïllerie,"0,00%",neutral,"69,55%","5,81%","35,40%","4,23%","9,68%","5,02%",City,,,,,,1
,,,home,89,93,Facility,home,,,judgment therefore disease,"-43,52%",negative,"95,95%","39,44%","12,66%","19,10%","1,57%","8,64%",,,,,,,,,,,,,,,,,
agentOf,"I do not believe in any evolution, and yet I am well beaten!","86,76%",I,2007,2008,Person,she,,,common stint,"0,00%",neutral,"95,24%","35,68%","6,43%","25,10%","16,80%","17,73%",,,,,,,,,,,,,,,,,
,,,beaten,2017,2023,Crime,beaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,Without my husband I know where I'll be today!,"58,15%",my,2033,2035,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,husband,2036,2043,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residesIn,"BonjourJe did not need to announce anything, because at the time I was nanny approved my home, I have had my judgment therefore disease, with stopping child custody for more than a year.","50,21%",my,86,88,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,home,89,93,Facility,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"Here, I have cummulé CDD, in offices elsewhere.","82,87%",cummulé CDD,484,495,Person,cummulé CDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,offices,500,507,Organization,offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"This is more passion than a business, I don't win so to speak.","53,93%",I,705,706,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,speak,723,728,EventCommunication,speak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"In my CSD, I had the visit of the medicine work for a single position, where she told me that she'd in any problem.","99,53%",she,807,810,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,811,815,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"In my CSD, I had the visit of the medicine work for a single position, where she told me that she'd in any problem.","92,33%",me,816,818,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,811,815,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,"But once there, my employer for which I worked at half time, a Little tried me overtime when I couldn't.","46,26%",my,862,864,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,employer,865,873,Organization,employer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,"As for my doctor, this is not apparently its jurisdiction.","37,85%",my,1645,1647,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,doctor,1648,1654,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"As to the impact, as I have already said, between my disability, the world of current work, and adaptation of a position for me and hours, more to date, my age, I approach the fifties, it is just lost.","97,54%",I,1718,1719,Person,she,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,said,1733,1737,EventCommunication,said,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"L said I thought the pain would be passagère.1 week after, as the pain was still present, my doctor prescribed my radiology wrist, I had nothing.","60,65%",I,218,219,Person,him,,en,pain,"-70,13%",negative,"96,47%","100,00%","6,16%","72,24%","2,10%","6,96%",HealthCondition,pain,"-70,47%",negative,"87,43%","100,00%","4,62%","72,89%","2,80%","8,06%",,,,,,,8
,,,said,213,217,EventCommunication,said,,,wrist,"-58,27%",negative,"79,06%","63,70%","16,07%","19,06%","10,16%","12,28%",,,,,,,,,,,,,,,,,
hasAttribute,"For me I lived it quite badly, because j had more trouble after surgery, that before and this pain, played on my morale.","60,05%",I,970,971,Person,him,,,strong pain,"-58,92%",negative,"78,97%","69,99%","20,66%","12,89%","0,90%","2,78%",,,,,,,,,,,,,,,,,
,,,pain,1057,1061,HealthCondition,pain m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"For me I lived it quite badly, because j had more trouble after surgery, that before and this pain, played on my morale.","48,66%",me,1117,1119,Person,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pain m,1130,1136,HealthCondition,pain m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,"For me I lived it quite badly, because j had more trouble after surgery, that before and this pain, played on my morale.","67,93%",my,1651,1653,Person,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pain,1660,1664,HealthCondition,pain m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,I went to see my doctor who gave me drugs for pain m explaining that the pain became chronic n was not normal.,"61,59%",who,1108,1111,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pain m,1130,1136,HealthCondition,pain m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,I went to see my doctor who gave me drugs for pain m explaining that the pain became chronic n was not normal.,"57,94%",me,1117,1119,Person,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,explaining,1137,1147,EventCommunication,explaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spouseOf,"For my entourage, my wife was present and my support, and I am not the kind has me complain, even when I feel pain, I spoke to him, I learned to live with, as well as the disability of the wrist.","80,24%",my,1817,1819,Person,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wife,1820,1824,Person,wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"For my entourage, my wife was present and my support, and I am not the kind has me complain, even when I feel pain, I spoke to him, I learned to live with, as well as the disability of the wrist.","99,74%",I,1915,1916,Person,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,spoke,1917,1922,EventCommunication,spoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"For my entourage, my wife was present and my support, and I am not the kind has me complain, even when I feel pain, I spoke to him, I learned to live with, as well as the disability of the wrist.","56,30%",him,1926,1929,Person,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,spoke,1917,1922,EventCommunication,spoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ownerOf,"A young girl 20 years, .Canada missed its flexibility on the road, it was d have his licence, it had a A behind his car.","83,61%",his,177,180,Person,your,,en,hospital Melun.aux emergencies,"-36,87%",negative,"91,18%","31,40%","8,41%","40,68%","16,19%","8,95%",Person,m.y.,"0,00%",neutral,"86,51%","39,18%","29,99%","14,16%","9,48%","14,50%",,,,,,,2
,,,car,181,184,Vehicle,vehicle,,,great surgeon specialist,"39,79%",positive,"89,68%","0,75%","43,10%","9,53%","2,25%","1,21%",,,,,,,,,,,,,,,,,
ownerOf,"A young girl 20 years, .Canada missed its flexibility on the road, it was d have his licence, it had a A behind his car.","80,15%",his,286,289,Person,your,,,hospital mercy salpetrière,"0,00%",neutral,"89,16%","39,75%","30,34%","14,16%","9,51%","13,94%",,,,,,,,,,,,,,,,,
,,,vehicle,290,297,Vehicle,vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Oh yes forgot j, the girl, which caused the accident called several times l Home l.hopital to take new, during my stay, and I remember that when men are morally was part, I Was a good crazy.","38,46%",girl,3391,3395,Person,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,accident,3414,3422,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Oh yes forgot j, the girl, which caused the accident called several times l Home l.hopital to take new, during my stay, and I remember that when men are morally was part, I Was a good crazy.","57,35%",Home,3446,3450,Facility,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,accident,3414,3422,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"They spoke to the ear suddenly d, whispered.","98,75%",They,709,713,Person,firefighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,spoke,714,719,EventCommunication,explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"And then after a long wait, .allongée and perfused, .the medeæin specialisé is finally arrived, and my explained that this was going to happen.","95,49%",my,854,856,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,explained,857,866,EventCommunication,explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"And then after a long wait, .allongée and perfused, .the medeæin specialisé is finally arrived, and my explained that this was going to happen.","90,59%",my,1195,1197,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,said,1203,1207,EventCommunication,explained,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"said that he would bring me to the hospital mercy salpetrière (the largest of Paris), it avaitconsulté a great surgeon specialist of this operation, which was specially for m operate the next day.","43,20%",hospital,1030,1038,Organization,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Paris,1073,1078,GeopoliticalEntity,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"And then the next day after noon, .ils came for me, and there all switches ...... we fear Invades, data.quality.was.good wondered if they will not be missed, if we will wake up, whether we will recover his body, if we will be able to get up and walk .... 10 hours later ....., I am finally back in my chambre, .7h d operation, 3 hours in Room reversal ... I could write a book, j have in the head, close detail.","89,84%",I,1630,1631,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,write,1638,1643,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"The next day, after a very rough night, to 11hle surgeon comes to see me take stock and tell me what will be my new life .... it asks you what was your Life before, and after he tells you that what will become now, .tout ending with you will not PARAPLÉGIQUE, .might n forget jamais.A 12:00 PM, a nurse who has just taken command what you will eat, while adding that for me for the moment it is straw that j was eat, I couldn't swallow normally, everything was wounded in the throat, with the length of the operation, and the tube that you put for l operation.æa last a month, before I Is a normal diet, j had a lot of weight, and looked extremely weakened, I am small in nature.","99,81%",he,1861,1863,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tells,1864,1869,EventCommunication,tells,,,,,,,,,,,,,,,,,,,,,,,,,,,,
